+88800599059,79 TON
+88806741956,17 TON
+88802439696,40 TON
+88806421973,16 TON
+88806421941,16 TON
+88803763927,16 TON
+88802864091,16 TON
+88809294071,16 TON
+88804653198,15 TON
+88809888999,600 TON
+88803888999,306 TON
+88803165724,16 TON
+88805888999,331 TON
+88802087961,16 TON
+88804406789,150 TON
+88802946137,15 TON
+88806291368,25 TON
+88800518888,204 TON
+88803162742,19 TON
+88802961537,16 TON
+88808406379,16 TON
+88808475265,19 TON
+88806524926,16 TON
+88803175473,16 TON
+88804271963,16 TON
+88803168405,16 TON
+88803127156,16 TON
+88803141865,16 TON
+88803165214,16 TON
+88803164975,16 TON
+88803163720,16 TON
+88803121596,16 TON
+88803154529,16 TON
+88800537916,20 TON
+88803150795,16 TON
+88802657934,16 TON
+88802952419,16 TON
+88802769641,16 TON
+88802679453,16 TON
+88803164936,16 TON
+88802517396,16 TON
+88803486527,16 TON
+88802948603,16 TON
+88802913047,16 TON
+88807931753,16 TON
+88802564197,16 TON
+88805363241,16 TON
+88802964302,16 TON
+88805293471,16 TON
+88808049352,16 TON
+88802461937,16 TON
+88802143760,16 TON
+88802139567,16 TON
+88801975693,16 TON
+88807417391,15 TON
+88802069485,16 TON
+88804166505,52 TON
+88801963542,16 TON
+88801473269,16 TON
+88801469325,16 TON
+88801457926,16 TON
+88802031736,16 TON
+88806412739,15 TON
+88803126984,16 TON
+88803126951,16 TON
+88801452679,16 TON
+88806888999,300 TON
+88802832795,16 TON
+88804259313,30 TON
+88803659737,18 TON
+88805243761,16 TON
+88801324975,16 TON
+88806713294,15 TON
+88809741632,15 TON
+88805129630,17 TON
+88801295746,16 TON
+88805091713,30 TON
+88801293745,16 TON
+88801247539,16 TON
+88809645318,15 TON
+88809625174,15 TON
+88809475841,15 TON
+88802619173,15 TON
+88806924351,15 TON
+88806537294,15 TON
+88806459732,15 TON
+88806795231,15 TON
+88805179324,16 TON
+88808439715,14 TON
+88809653472,15 TON
+88807516234,15 TON
+88806372549,15 TON
+88804706153,14 TON
+88803217146,18 TON
+88809516247,15 TON
+88809523614,15 TON
+88805193762,14 TON
+88806854629,15 TON
+88807562134,18 TON
+88805925137,15 TON
+88807956034,15 TON
+88809259146,15 TON
+88804579162,15 TON
+88804029318,16 TON
+88804153259,15 TON
+88802947395,16 TON
+88800002323,585 TON
+88802171494,18 TON
+88807160264,16 TON
+88803250196,15 TON
+88800000107,330 TON
+88803158409,16 TON
+88805261478,15 TON
